SlideNumber	Filename	Cy3	Cy5
1	US22502634_252162310078_S01_GE2-v5_95_Feb07_1_1.txt	KK	KE
2	US22502634_252162310078_S01_GE2-v5_95_Feb07_1_2.txt	KE	KK
3	US22502634_252162310078_S01_GE2-v5_95_Feb07_1_3.txt	KK	KE
4	US22502634_252162310078_S01_GE2-v5_95_Feb07_1_4.txt	KE	KK
5	US22502634_252162310081_S01_GE2-v5_95_Feb07_1_1.txt	KE	HE
6	US22502634_252162310081_S01_GE2-v5_95_Feb07_1_2.txt	HE	KE
7	US22502634_252162310081_S01_GE2-v5_95_Feb07_1_3.txt	KE	HE
8	US22502634_252162310081_S01_GE2-v5_95_Feb07_1_4.txt	HE	KE
9	US22502634_252162310084_S01_GE2-v5_95_Feb07_1_1.txt	HK	HE
10	US22502634_252162310084_S01_GE2-v5_95_Feb07_1_2.txt	HE	HK
11	US22502634_252162310084_S01_GE2-v5_95_Feb07_1_3.txt	HK	HE
12	US22502634_252162310084_S01_GE2-v5_95_Feb07_1_4.txt	HE	HK
13	US22502634_252162310107_S01_GE2-v5_95_Feb07_1_1.txt	KK	HK
14	US22502634_252162310107_S01_GE2-v5_95_Feb07_1_2.txt	HK	KK
15	US22502634_252162310107_S01_GE2-v5_95_Feb07_1_3.txt	KK	HK
16	US22502634_252162310107_S01_GE2-v5_95_Feb07_1_4.txt	HK	KK
