SlideNumber	Filename	Cy3	Cy5
1	US22502634_252162310079_S01_GE2-v5_95_Feb07_1_1.txt	KK	KM
2	US22502634_252162310079_S01_GE2-v5_95_Feb07_1_2.txt	KM	KK
3	US22502634_252162310079_S01_GE2-v5_95_Feb07_1_3.txt	KK	KM
4	US22502634_252162310079_S01_GE2-v5_95_Feb07_1_4.txt	KM	KK
5	US22502634_252162310082_S01_GE2-v5_95_Feb07_1_1.txt	KM	HM
6	US22502634_252162310082_S01_GE2-v5_95_Feb07_1_2.txt	HM	KM
7	US22502634_252162310082_S01_GE2-v5_95_Feb07_1_3.txt	KM	HM
8	US22502634_252162310082_S01_GE2-v5_95_Feb07_1_4.txt	HM	KM
9	US22502634_252162310085_S01_GE2-v5_95_Feb07_1_1.txt	HK	HM
10	US22502634_252162310085_S01_GE2-v5_95_Feb07_1_2.txt	HM	HK
11	US22502634_252162310085_S01_GE2-v5_95_Feb07_1_3.txt	HK	HM
12	US22502634_252162310085_S01_GE2-v5_95_Feb07_1_4.txt	HM	HK
13	US22502634_252162310107_S01_GE2-v5_95_Feb07_1_1.txt	KK	HK
14	US22502634_252162310107_S01_GE2-v5_95_Feb07_1_2.txt	HK	KK
15	US22502634_252162310107_S01_GE2-v5_95_Feb07_1_3.txt	KK	HK
16	US22502634_252162310107_S01_GE2-v5_95_Feb07_1_4.txt	HK	KK
